cod_municipio,cod_grande_reg,cod_unidade_fed,nome_grande_reg,nome_unidade_fed,nome_municipio,ano,pib,pib_per_capita
3300100,3,33,Sudeste     ,Rio de Janeiro     ,Angra dos Reis                          ,2014,7756628.497       ,41941.32          
3300159,3,33,Sudeste     ,Rio de Janeiro     ,Aperibé                                 ,2014,142621.052        ,13106.14          
3300209,3,33,Sudeste     ,Rio de Janeiro     ,Araruama                                ,2014,2063933.747       ,17064.64          
3300225,3,33,Sudeste     ,Rio de Janeiro     ,Areal                                   ,2014,271556.832        ,22860.24          
3300233,3,33,Sudeste     ,Rio de Janeiro     ,Armação dos Búzios                      ,2014,3983706.738       ,130875.09         
3300258,3,33,Sudeste     ,Rio de Janeiro     ,Arraial do Cabo                         ,2014,1130031.915       ,39147.51          
3300308,3,33,Sudeste     ,Rio de Janeiro     ,Barra do Piraí                          ,2014,1897184.912       ,19646.10          
3300407,3,33,Sudeste     ,Rio de Janeiro     ,Barra Mansa                             ,2014,5397423.493       ,30036.25          
3300456,3,33,Sudeste     ,Rio de Janeiro     ,Belford Roxo                            ,2014,6592295.518       ,13751.54          
3300506,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jardim                              ,2014,656729.350        ,25137.00          
3300605,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jesus do Itabapoana                 ,2014,606058.350        ,16883.73          
3300704,3,33,Sudeste     ,Rio de Janeiro     ,Cabo Frio                               ,2014,17208138.933      ,84153.14          
3300803,3,33,Sudeste     ,Rio de Janeiro     ,Cachoeiras de Macacu                    ,2014,958313.271        ,17122.83          
3300902,3,33,Sudeste     ,Rio de Janeiro     ,Cambuci                                 ,2014,283110.632        ,19065.97          
3300936,3,33,Sudeste     ,Rio de Janeiro     ,Carapebus                               ,2014,911496.461        ,61951.77          
3300951,3,33,Sudeste     ,Rio de Janeiro     ,Comendador Levy Gasparian               ,2014,254202.230        ,30831.08          
3301009,3,33,Sudeste     ,Rio de Janeiro     ,Campos dos Goytacazes                   ,2014,58004933.013      ,120680.69         
3301108,3,33,Sudeste     ,Rio de Janeiro     ,Cantagalo                               ,2014,855426.983        ,43220.85          
3301157,3,33,Sudeste     ,Rio de Janeiro     ,Cardoso Moreira                         ,2014,271856.754        ,21613.67          
3301207,3,33,Sudeste     ,Rio de Janeiro     ,Carmo                                   ,2014,355383.495        ,19662.69          
3301306,3,33,Sudeste     ,Rio de Janeiro     ,Casimiro de Abreu                       ,2014,3598888.933       ,91309.91          
3301405,3,33,Sudeste     ,Rio de Janeiro     ,Conceição de Macabu                     ,2014,272137.566        ,12366.52          
3301504,3,33,Sudeste     ,Rio de Janeiro     ,Cordeiro                                ,2014,316892.971        ,15115.33          
3301603,3,33,Sudeste     ,Rio de Janeiro     ,Duas Barras                             ,2014,197560.831        ,17804.69          
3301702,3,33,Sudeste     ,Rio de Janeiro     ,Duque de Caxias                         ,2014,28862818.723      ,32858.33          
3301801,3,33,Sudeste     ,Rio de Janeiro     ,Engenheiro Paulo de Frontin             ,2014,222111.195        ,16372.64          
3301850,3,33,Sudeste     ,Rio de Janeiro     ,Guapimirim                              ,2014,764536.809        ,13744.23          
3301876,3,33,Sudeste     ,Rio de Janeiro     ,Iguaba Grande                           ,2014,361776.871        ,14269.03          
3301900,3,33,Sudeste     ,Rio de Janeiro     ,Itaboraí                                ,2014,5053066.112       ,22243.74          
3302007,3,33,Sudeste     ,Rio de Janeiro     ,Itaguaí                                 ,2014,7930533.651       ,67566.36          
3302056,3,33,Sudeste     ,Rio de Janeiro     ,Italva                                  ,2014,279815.854        ,19312.30          
3302106,3,33,Sudeste     ,Rio de Janeiro     ,Itaocara                                ,2014,1024006.622       ,44865.34          
3302205,3,33,Sudeste     ,Rio de Janeiro     ,Itaperuna                               ,2014,2198576.663       ,22315.82          
3302254,3,33,Sudeste     ,Rio de Janeiro     ,Itatiaia                                ,2014,3276893.333       ,109244.34         
3302270,3,33,Sudeste     ,Rio de Janeiro     ,Japeri                                  ,2014,1105726.247       ,11153.07          
3302304,3,33,Sudeste     ,Rio de Janeiro     ,Laje do Muriaé                          ,2014,126636.940        ,17250.64          
3302403,3,33,Sudeste     ,Rio de Janeiro     ,Macaé                                   ,2014,21419169.559      ,93279.32          
3302452,3,33,Sudeste     ,Rio de Janeiro     ,Macuco                                  ,2014,126244.881        ,23465.59          
3302502,3,33,Sudeste     ,Rio de Janeiro     ,Magé                                    ,2014,3289174.993       ,14078.32          
3302601,3,33,Sudeste     ,Rio de Janeiro     ,Mangaratiba                             ,2014,3011897.584       ,75282.38          
3302700,3,33,Sudeste     ,Rio de Janeiro     ,Maricá                                  ,2014,9757407.892       ,68180.70          
3302809,3,33,Sudeste     ,Rio de Janeiro     ,Mendes                                  ,2014,243980.940        ,13490.04          
3302858,3,33,Sudeste     ,Rio de Janeiro     ,Mesquita                                ,2014,2013252.202       ,11809.80          
3302908,3,33,Sudeste     ,Rio de Janeiro     ,Miguel Pereira                          ,2014,644124.688        ,25942.43          
3303005,3,33,Sudeste     ,Rio de Janeiro     ,Miracema                                ,2014,390587.738        ,14615.62          
3303104,3,33,Sudeste     ,Rio de Janeiro     ,Natividade                              ,2014,240134.522        ,15966.39          
3303203,3,33,Sudeste     ,Rio de Janeiro     ,Nilópolis                               ,2014,2379969.285       ,15034.65          
3303302,3,33,Sudeste     ,Rio de Janeiro     ,Niterói                                 ,2014,24642144.196      ,49734.89          
3303401,3,33,Sudeste     ,Rio de Janeiro     ,Nova Friburgo                           ,2014,4081020.609       ,22124.15          
3303500,3,33,Sudeste     ,Rio de Janeiro     ,Nova Iguaçu                             ,2014,14716568.092      ,18254.76          
3303609,3,33,Sudeste     ,Rio de Janeiro     ,Paracambi                               ,2014,691579.490        ,14079.39          
3303708,3,33,Sudeste     ,Rio de Janeiro     ,Paraíba do Sul                          ,2014,807971.149        ,19164.86          
3303807,3,33,Sudeste     ,Rio de Janeiro     ,Paraty                                  ,2014,3671117.546       ,91858.31          
3303856,3,33,Sudeste     ,Rio de Janeiro     ,Paty do Alferes                         ,2014,415503.226        ,15528.19          
3303906,3,33,Sudeste     ,Rio de Janeiro     ,Petrópolis                              ,2014,11070793.020      ,37148.19          
3303955,3,33,Sudeste     ,Rio de Janeiro     ,Pinheiral                               ,2014,294414.514        ,12427.27          
3304003,3,33,Sudeste     ,Rio de Janeiro     ,Piraí                                   ,2014,1563985.787       ,56709.30          
3304102,3,33,Sudeste     ,Rio de Janeiro     ,Porciúncula                             ,2014,271678.998        ,14851.53          
3304110,3,33,Sudeste     ,Rio de Janeiro     ,Porto Real                              ,2014,3097650.331       ,172378.98         
3304128,3,33,Sudeste     ,Rio de Janeiro     ,Quatis                                  ,2014,264161.734        ,19691.52          
3304144,3,33,Sudeste     ,Rio de Janeiro     ,Queimados                               ,2014,3925114.257       ,27504.32          
3304151,3,33,Sudeste     ,Rio de Janeiro     ,Quissamã                                ,2014,4574472.121       ,205492.66         
3304201,3,33,Sudeste     ,Rio de Janeiro     ,Resende                                 ,2014,7757843.180       ,62404.22          
3304300,3,33,Sudeste     ,Rio de Janeiro     ,Rio Bonito                              ,2014,1491126.503       ,26030.42          
3304409,3,33,Sudeste     ,Rio de Janeiro     ,Rio Claro                               ,2014,297150.595        ,16723.92          
3304508,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Flores                          ,2014,177113.549        ,20040.00          
3304524,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Ostras                          ,2014,14336159.287      ,112731.36         
3304557,3,33,Sudeste     ,Rio de Janeiro     ,Rio de Janeiro                          ,2014,300270151.610     ,46526.95          
3304607,3,33,Sudeste     ,Rio de Janeiro     ,Santa Maria Madalena                    ,2014,159233.209        ,15530.40          
3304706,3,33,Sudeste     ,Rio de Janeiro     ,Santo Antônio de Pádua                  ,2014,924937.989        ,22500.19          
3304755,3,33,Sudeste     ,Rio de Janeiro     ,São Francisco de Itabapoana             ,2014,1002625.105       ,24251.39          
3304805,3,33,Sudeste     ,Rio de Janeiro     ,São Fidélis                             ,2014,676773.638        ,17946.79          
